Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,current,2024-11-01,2025-03-31,all,1944317,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,current,2024-11-01,2025-03-31,3+,291648,0.15
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,current,2024-11-01,2025-03-31,1,972159,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,current,2024-11-01,2025-03-31,2,680511,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,current,2024-11-01,2025-03-31,3,291648,0.15
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,current,2024-11-01,2025-03-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,first projection,2025-04-01,2025-07-31,all,1944317,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,first projection,2025-04-01,2025-07-31,3+,194432,0.1
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,first projection,2025-04-01,2025-07-31,1,972159,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,first projection,2025-04-01,2025-07-31,2,777727,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,first projection,2025-04-01,2025-07-31,3,194432,0.1
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Swat,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,current,2024-11-01,2025-03-31,all,568263,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,current,2024-11-01,2025-03-31,3+,142066,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,current,2024-11-01,2025-03-31,1,227305,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,current,2024-11-01,2025-03-31,2,198892,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,current,2024-11-01,2025-03-31,3,113653,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,current,2024-11-01,2025-03-31,4,28413,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,first projection,2025-04-01,2025-07-31,all,568263,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,first projection,2025-04-01,2025-07-31,3+,113653,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,first projection,2025-04-01,2025-07-31,1,227305,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,first projection,2025-04-01,2025-07-31,2,227305,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,first projection,2025-04-01,2025-07-31,3,113653,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Batagram,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,current,2024-11-01,2025-03-31,all,1336206,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,current,2024-11-01,2025-03-31,3+,267241,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,current,2024-11-01,2025-03-31,1,801724,0.6
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,current,2024-11-01,2025-03-31,2,267241,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,current,2024-11-01,2025-03-31,3,200431,0.15
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,current,2024-11-01,2025-03-31,4,66810,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,first projection,2025-04-01,2025-07-31,all,1336206,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,first projection,2025-04-01,2025-07-31,3+,267241,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,first projection,2025-04-01,2025-07-31,1,801724,0.6
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,first projection,2025-04-01,2025-07-31,2,267241,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,first projection,2025-04-01,2025-07-31,3,267241,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bannu,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,current,2024-11-01,2025-03-31,all,1038731,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,current,2024-11-01,2025-03-31,3+,207747,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,current,2024-11-01,2025-03-31,1,415492,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,current,2024-11-01,2025-03-31,2,415492,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,current,2024-11-01,2025-03-31,3,155810,0.15
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,current,2024-11-01,2025-03-31,4,51937,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,first projection,2025-04-01,2025-07-31,all,1038731,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,first projection,2025-04-01,2025-07-31,3+,207746,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,first projection,2025-04-01,2025-07-31,1,415492,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,first projection,2025-04-01,2025-07-31,2,415492,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,first projection,2025-04-01,2025-07-31,3,207746,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Buner,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,current,2024-11-01,2025-03-31,all,269541,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,current,2024-11-01,2025-03-31,3+,67385,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,current,2024-11-01,2025-03-31,1,134771,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,current,2024-11-01,2025-03-31,2,67385,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,current,2024-11-01,2025-03-31,3,53908,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,current,2024-11-01,2025-03-31,4,13477,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,first projection,2025-04-01,2025-07-31,all,269541,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,first projection,2025-04-01,2025-07-31,3+,53908,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,first projection,2025-04-01,2025-07-31,1,134771,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,first projection,2025-04-01,2025-07-31,2,80862,0.3
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,first projection,2025-04-01,2025-07-31,3,53908,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral lower,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,current,2024-11-01,2025-03-31,all,205777,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,current,2024-11-01,2025-03-31,3+,61733,0.3
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,current,2024-11-01,2025-03-31,1,92600,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,current,2024-11-01,2025-03-31,2,51444,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,current,2024-11-01,2025-03-31,3,51444,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,current,2024-11-01,2025-03-31,4,10289,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,first projection,2025-04-01,2025-07-31,all,205777,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,first projection,2025-04-01,2025-07-31,3+,51444,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,first projection,2025-04-01,2025-07-31,1,92600,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,first projection,2025-04-01,2025-07-31,2,61733,0.3
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,first projection,2025-04-01,2025-07-31,3,51444,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Tor ghar,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,current,2024-11-01,2025-03-31,all,447828,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,current,2024-11-01,2025-03-31,3+,111957,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,current,2024-11-01,2025-03-31,1,201523,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,current,2024-11-01,2025-03-31,2,134348,0.3
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,current,2024-11-01,2025-03-31,3,89566,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,current,2024-11-01,2025-03-31,4,22391,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,first projection,2025-04-01,2025-07-31,all,447828,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,first projection,2025-04-01,2025-07-31,3+,89566,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,first projection,2025-04-01,2025-07-31,1,223914,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,first projection,2025-04-01,2025-07-31,2,134348,0.3
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,first projection,2025-04-01,2025-07-31,3,89566,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Hangu,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,current,2024-11-01,2025-03-31,all,433013,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,current,2024-11-01,2025-03-31,3+,108254,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,current,2024-11-01,2025-03-31,1,151555,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,current,2024-11-01,2025-03-31,2,173205,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,current,2024-11-01,2025-03-31,3,86603,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,current,2024-11-01,2025-03-31,4,21651,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,first projection,2025-04-01,2025-07-31,all,433013,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,first projection,2025-04-01,2025-07-31,3+,108254,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,first projection,2025-04-01,2025-07-31,1,151555,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,first projection,2025-04-01,2025-07-31,2,173205,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,first projection,2025-04-01,2025-07-31,3,86603,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,first projection,2025-04-01,2025-07-31,4,21651,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan upper,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,current,2024-11-01,2025-03-31,all,1175841,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,current,2024-11-01,2025-03-31,3+,293960,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,current,2024-11-01,2025-03-31,1,411544,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,current,2024-11-01,2025-03-31,2,470336,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,current,2024-11-01,2025-03-31,3,235168,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,current,2024-11-01,2025-03-31,4,58792,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,first projection,2025-04-01,2025-07-31,all,1175841,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,first projection,2025-04-01,2025-07-31,3+,235168,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,first projection,2025-04-01,2025-07-31,1,411544,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,first projection,2025-04-01,2025-07-31,2,529128,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,first projection,2025-04-01,2025-07-31,3,235168,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Khyber,first projection,2025-04-01,2025-07-31,5,0,0
